change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,destinyhosted__20210112_198/AGENDApacket__01-12-21_0344_197.pdf__agenda_packet,2021-01-12,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__465221__minutes,2021-01-05,2021,laserfiche,minutes,regular,01-05-2021 Minutes
added,destinyhosted__20210105_167/AGENDApacket__01-05-21_0332_166.pdf__agenda_packet,2021-01-05,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20201208_176/AGENDApacket__12-08-20_0446_175.pdf__agenda_packet,2020-12-08,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__463323__minutes,2020-12-01,2021,laserfiche,minutes,regular,12-01-2020 Minutes
added,destinyhosted__20201201_163/AGENDApacket__12-01-20_1151_162.pdf__agenda_packet,2020-12-01,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__463172__minutes,2020-11-16,2021,laserfiche,minutes,regular,11-16-2020 Specal Meeting Minutes
added,destinyhosted__20201116_187/AGENDApacket__11-16-20_0153_186.pdf__agenda_packet,2020-11-16,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__463164__minutes,2020-11-10,2021,laserfiche,minutes,regular,11-10-2020 Minutes
added,destinyhosted__20201110_164/AGENDApacket__11-10-20_0443_163.pdf__agenda_packet,2020-11-10,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__462411__minutes,2020-10-27,2021,laserfiche,minutes,regular,10-27-2020 Minutes
added,destinyhosted__20201027_158/AGENDApacket__10-27-20_0411_157.pdf__agenda_packet,2020-10-27,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__461559__minutes,2020-09-22,2020,laserfiche,minutes,regular,09-22-2020 Minutes
added,destinyhosted__20200922_137/AGENDApacket__09-22-20_1032_136.pdf__agenda_packet,2020-09-22,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__459495__minutes,2020-09-08,2020,laserfiche,minutes,regular,09-08-2020 Minutes
added,destinyhosted__20200908_155/AGENDApacket__09-08-20_0455_154.pdf__agenda_packet,2020-09-08,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__458492__minutes,2020-09-01,2020,laserfiche,minutes,regular,09-01-2020 Minutes
added,destinyhosted__20200901_154/AGENDApacket__09-01-20_0120_153.pdf__agenda_packet,2020-09-01,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__458351__minutes,2020-08-25,2020,laserfiche,minutes,regular,08-25-2020 Minutes
added,destinyhosted__20200825_152/AGENDApacket__08-25-20_0115_151.pdf__agenda_packet,2020-08-25,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__457567__minutes,2020-08-11,2020,laserfiche,minutes,regular,08-11-2020 Minutes
added,destinyhosted__20200811_148/AGENDApacket__08-11-20_0420_147.pdf__agenda_packet,2020-08-11,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
